seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere
6.662670,2000-01-03T08:50:00,older_sister,False,Navigating,"(9,4)",4.030079,6.015038,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
6.662762,2000-01-03T08:50:00,player,True,Navigating,"(3,2)",1.303257,2.873851,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
6.780757,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.703176,5.592858,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.780909,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",1.297810,6.906651,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
6.780993,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.925400,5.962698,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
6.781077,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.407936,2.926190,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
6.893299,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.599467,5.644712,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
6.893899,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",1.194102,6.958506,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
6.894009,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.821692,5.910844,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
6.894090,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.511644,2.978044,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.002722,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.500568,5.694161,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
