seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
108.429500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,5.085579,1.775838
109.446000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
109.446100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
109.446100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.645323,1.775838
109.446100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.126081,1.775838
110.536100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
110.536100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
110.536200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.909470,1.775838
110.536200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.376038,1.775838
111.570700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
111.570700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
111.570800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.558807,1.775838
111.570900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.375975,1.775838
112.682100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
112.682100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
112.682200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
112.682200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
113.735700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
113.735700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
113.735700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
113.735800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
114.832300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
114.832300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
114.832300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
114.832400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
115.932200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
115.932200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
115.932300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
115.932300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
117.015200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
117.015300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
117.015400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
117.015400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
118.098500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
118.098600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
118.098600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
118.098600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
119.150900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
119.151000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
119.151000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
119.151000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
120.166700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
120.166700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
120.166800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
120.166800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
121.260400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
121.260400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
121.260500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
121.260500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
122.344500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
122.344600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
122.344600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.547092,1.775838
122.344600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
123.361200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
123.361300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
123.361300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.547092,1.775838
123.361400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
124.430400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
124.430500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
124.430600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.568054,1.775838
124.430600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
125.434800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
125.434900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
125.434900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.567028,1.775838
125.434900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.341936,1.775838
126.534000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
126.534100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
126.534100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.567028,1.775838
126.534200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.301944,1.775838
127.616900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
127.617000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
127.617000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.567028,1.775838
127.617000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,2.275828,1.775838
128.645100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
128.645100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
128.645100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
128.645200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,1.608350,1.775838
129.714400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
129.714400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
129.714400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
129.714400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186346,1.775838
130.723900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
130.723900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
130.724000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
130.724000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
131.740500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
131.740600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
131.740600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.567028,1.775838
131.740600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
132.824200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
132.824300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
132.824300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.794943,1.775838
132.824300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
133.874300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
133.874300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
133.874400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
133.874400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
134.875100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
134.875200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
134.875200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
134.875300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
135.875100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
135.875100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
135.875200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
135.875200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186322,1.775838
136.959500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
136.959500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
136.959500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
136.959600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186191,1.775838
138.042900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
