frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
48,player,Navigating,0.931109,6.584229,-5.024995,3.784595,0.220000,0,1.862465,0.481754
48,father,Navigating,8.630616,10.067690,-1.277400,8.754804,0.220000,0,1.150043,0.404869
49,player,Navigating,0.948011,6.518279,-4.951349,3.762796,0.220000,0,1.819178,0.499971
49,father,Navigating,8.709739,10.065430,-1.205060,8.788964,0.220000,0,1.138325,0.392309
50,player,Navigating,0.949190,6.438494,-4.879381,3.727859,0.220000,0,1.820094,0.483728
50,father,Navigating,8.788860,10.063170,-1.132720,8.823125,0.220000,0,1.135410,0.379449
51,player,Navigating,0.950369,6.358708,-4.807413,3.692923,0.220000,0,1.789040,0.452116
51,father,Navigating,8.867982,10.060910,-1.060380,8.857285,0.220000,0,1.133674,0.369949
52,player,Navigating,0.951548,6.278924,-4.735445,3.657987,0.220000,0,1.699983,0.406914
52,father,Navigating,8.947104,10.058650,-0.988041,8.891446,0.220000,0,1.131226,0.360623
53,player,Navigating,0.952727,6.199138,-4.663477,3.623051,0.220000,0,1.611513,0.356652
53,father,Navigating,9.026226,10.056390,-0.915701,8.925607,0.220000,0,1.123217,0.353489
54,player,Navigating,0.953905,6.119353,-4.591509,3.588115,0.220000,0,1.529155,0.344231
54,father,Navigating,9.105348,10.054130,-0.843361,8.959767,0.220000,0,1.065776,0.351280
55,player,Navigating,0.955084,6.039567,-4.519541,3.553179,0.220000,0,1.457246,0.335944
55,father,Navigating,9.184469,10.051870,-0.771021,8.993928,0.220000,0,1.022070,0.350009
56,player,Navigating,0.956263,5.959782,-4.447573,3.518242,0.220000,0,1.401537,0.348599
56,father,Navigating,9.263591,10.049610,-0.698681,9.028089,0.220000,0,0.994887,0.348399
57,player,Navigating,0.957442,5.879997,-4.375605,3.483306,0.220000,0,1.356261,0.377552
57,father,Navigating,9.342713,10.047350,-0.626342,9.062249,0.220000,0,0.991574,0.350835
58,player,Navigating,0.958621,5.800211,-4.303636,3.448370,0.220000,0,1.321358,0.412195
58,father,Navigating,9.421835,10.045090,-0.554002,9.096410,0.220000,0,0.973396,0.367922
