frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
25,father,119,81,6,0,-1.052389,0.605173,30,96,28,32,0.333333,20,24,27,45,1758,0.190755,764.835000,385.860000,767.448600,374.513300,-2.613586,11.346710
26,player,77,176,41,0,-4.158255,1.208314,32,87,28,26,0.298851,20,27,31,42,1614,0.175130,517.867600,260.456500,514.323800,247.950900,3.543823,12.505620
26,father,90,107,0,0,6.418947,0.605171,29,97,27,32,0.329897,20,25,28,46,1784,0.193576,762.723300,384.291900,765.676200,373.627100,-2.952881,10.664790
27,player,106,188,96,0,-7.288744,0.313879,33,88,27,26,0.295455,20,28,33,43,1687,0.183051,520.275500,261.867300,516.096300,248.837100,4.179260,13.030230
27,father,88,116,0,0,6.418944,1.499596,30,97,28,31,0.319588,21,26,30,47,1813,0.196723,760.671600,383.186300,763.903700,372.740900,-3.232178,10.445400
28,player,133,201,133,14,-9.972021,-1.474970,35,88,27,26,0.295455,20,29,35,42,1773,0.192383,523.446100,263.362300,517.868700,249.723300,5.577393,13.638930
28,father,90,119,0,0,4.630085,1.946807,32,97,28,31,0.319588,21,27,32,47,1837,0.199327,758.476100,382.117200,762.131300,371.854700,-3.655212,10.262540
29,player,160,189,0,17,1.499601,-1.474974,37,89,28,26,0.292135,21,31,37,43,1821,0.197591,526.626100,265.161900,519.641100,250.609600,6.984985,14.552340
29,father,93,122,0,0,2.841230,1.499597,33,97,28,31,0.319588,21,28,33,47,1848,0.200521,756.118600,381.346500,760.358900,370.968400,-4.240295,10.378050
30,player,174,192,0,30,1.499601,-2.369392,38,88,27,25,0.284091,21,31,38,43,1865,0.202366,529.439900,266.827900,521.413600,251.495800,8.026306,15.332120
30,father,94,129,94,0,-11.338370,1.946803,35,97,27,31,0.319588,22,29,35,47,1873,0.203234,754.042600,380.692800,758.586400,370.082200,-4.543823,10.610630
