frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
49,father,0.631498,false,false,6.036555,8.149506,5.973976,7.814508,6.065203,8.062894,5.928121,7.689680,13.792500,12.376380,7.577090,1.253708,Infinity
50,player,0.673424,false,true,5.982450,3.599319,6.000904,4.090119,5.982305,3.687634,6.039766,4.234865,3.908317,16.129450,-2.350632,3.870251,3.870251
50,father,0.673424,false,true,6.038146,8.204788,5.974026,7.873918,6.062673,8.129597,5.923555,7.753968,11.617060,14.714220,5.693723,3.869913,3.869913
51,player,0.715350,false,true,5.976635,3.644081,6.000002,4.092847,5.983975,3.690694,6.042711,4.235715,5.669802,16.022070,0.477534,3.870082,3.870082
51,father,0.715350,false,true,6.039400,8.180730,5.972453,7.872613,6.061224,8.131195,5.919922,7.753571,12.563760,14.662880,7.296715,3.870345,3.870345
52,player,0.757277,false,true,5.970402,3.718384,5.999584,4.093297,5.986210,3.712264,6.043170,4.235852,8.593733,16.004390,4.244522,3.870232,3.870232
52,father,0.757277,false,true,6.040805,8.136283,5.970725,7.872415,6.060806,8.124985,5.917581,7.753507,14.312820,14.655090,10.023800,3.870232,3.870232
53,player,0.799203,false,true,5.973226,3.818654,5.999444,4.093791,5.982526,3.787889,6.043925,4.236003,12.539470,15.984920,6.784057,3.870363,3.870363
53,father,0.799203,false,true,6.037462,8.074119,5.969453,7.872186,6.064151,8.083577,5.915608,7.753437,16.759060,14.646070,12.219360,3.870288,3.870288
54,player,0.841129,false,true,5.984643,3.937816,6.000310,4.094424,5.973118,3.919029,6.045566,4.236198,17.228700,15.960030,12.156720,3.870420,3.870420
54,father,0.841129,false,true,6.031033,7.995762,5.968338,7.871893,6.069926,7.995244,5.913894,7.753346,18.454580,14.634540,12.235330,3.870307,3.870307
55,player,0.883055,false,true,5.988317,4.077424,6.000825,4.094950,5.963041,4.099447,6.046879,4.236365,16.629010,15.939330,11.372350,3.870194,3.870194
55,father,0.883055,false,true,6.028769,7.902439,5.967138,7.871640,6.075466,7.875968,5.912033,7.753268,15.836570,14.624570,10.326110,3.870345,3.870345
