frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
25,father,0.625268,false,false,9.132041,5.962108,8.827289,6.027225,9.020523,5.931727,8.727588,6.074376,13.913300,12.375470,7.172426,2.909109,Infinity
26,player,0.667194,false,true,2.616656,6.017195,3.118179,5.998537,2.713834,6.018643,3.243569,5.959404,4.411009,14.437490,-1.977415,3.562614,3.562614
26,father,0.667194,false,true,9.133046,5.960608,8.831429,6.027017,9.034970,5.934469,8.740787,6.078908,13.875310,12.531990,7.464805,3.562343,3.562343
27,player,0.709120,false,true,2.666855,6.023636,3.127075,6.000091,2.718935,6.017207,3.246332,5.955804,6.309140,14.101090,1.029133,3.562532,3.562532
27,father,0.709120,false,true,9.106538,5.959092,8.826986,6.028296,9.034491,5.936020,8.739409,6.082836,14.877630,12.364040,9.106853,3.562416,3.562416
28,player,0.751047,false,true,2.744305,6.029656,3.128475,6.000371,2.735004,6.014150,3.246765,5.955181,9.237668,14.048170,4.727762,3.562578,3.562578
28,father,0.751047,false,true,9.060687,5.957854,8.826109,6.030228,9.029160,5.937084,8.739135,6.085430,16.611380,12.330820,11.836480,3.562271,3.562271
29,player,0.792973,false,true,2.846041,6.029185,3.129941,6.000673,2.806878,6.016847,3.247220,5.954505,13.084550,13.992710,6.937304,3.562623,3.562623
29,father,0.792973,false,true,8.998254,5.960174,8.825172,6.031610,8.989889,5.934271,8.738846,6.087535,17.400120,12.295430,11.979950,3.562379,3.562379
30,player,0.834899,false,true,2.960010,6.016998,3.131349,5.999795,2.942655,6.026861,3.247656,5.952837,17.393950,13.939470,12.442390,3.562650,3.562650
30,father,0.834899,false,true,8.922587,5.967032,8.824256,6.032732,8.898827,5.927809,8.738563,6.089297,15.978880,12.260770,10.676170,3.562451,3.562451
31,player,0.876825,false,true,3.100724,6.012630,3.132754,5.999194,3.132409,6.036641,3.248097,5.951373,15.097490,13.886340,9.360240,3.562379,3.562379
31,father,0.876825,false,true,8.827785,5.969863,8.823334,6.034103,8.773182,5.922496,8.738276,6.091343,12.394230,12.225910,5.400488,3.562451,3.562451
32,player,0.918752,false,true,3.263024,6.011131,3.134080,5.999124,3.355831,6.048839,3.248511,5.950448,8.960573,13.836200,-0.127803,3.562262,3.562262
32,father,0.918752,false,true,8.718806,5.970222,8.822419,6.034396,8.628695,5.915661,8.737990,6.092311,8.273504,12.191340,-0.667042,3.562307,3.562307
33,player,0.960678,false,true,3.445237,6.016695,3.135637,5.998809,3.593343,6.061186,3.248991,5.949378,2.070733,13.777360,-4.000000,3.562397,3.562397
33,father,0.960678,false,true,8.598938,5.966962,8.821298,6.034955,8.481022,5.908763,8.737646,6.093549,3.741039,12.148920,-4.000000,3.562523,3.562523
34,player,0.002604,false,true,3.598722,6.020062,3.140754,5.998960,3.780869,6.059425,3.250578,5.948409,3.732905,13.583870,-4.000000,3.562460,3.562460
34,father,0.002604,false,true,8.499353,5.965299,8.817927,6.035015,8.366520,5.911571,8.736602,6.094746,0.024488,12.021460,-4.000000,3.562632,3.562632
35,player,0.044530,false,false,3.673203,6.013802,3.209682,5.996519,3.844309,6.049873,3.314553,5.948360,6.549160,10.977540,-1.656224,1.227691,Infinity
35,father,0.044530,false,false,8.416051,5.969177,8.737467,6.036060,8.286549,5.918845,8.659191,6.095109,3.174314,8.979087,-4.000000,0.687461,Infinity
36,player,0.086457,false,false,3.747952,6.006682,3.278790,5.992822,3.907351,6.038682,3.375963,5.948277,9.375584,8.364406,1.457928,-0.963332,Infinity
36,father,0.086457,false,false,8.340537,5.973566,8.665812,6.037728,8.215082,5.927355,8.591946,6.095264,6.029652,6.269672,-1.053790,-1.780191,Infinity
37,player,0.128383,false,false,3.757662,6.002778,3.292932,5.989331,3.907629,6.031602,3.377375,5.948966,9.742726,7.829690,2.056838,-0.800123,Infinity
37,father,0.128383,false,false,8.322666,5.975285,8.646717,6.038769,8.200761,5.932263,8.579495,6.093866,6.705383,5.547684,-0.290823,-2.137911,Infinity
38,player,0.170309,true,false,3.796468,6.004458,3.353129,5.983839,3.944882,6.031847,3.413601,5.950457,11.210080,5.553495,3.562397,-1.762044,3.562397
38,father,0.170309,true,false,8.221069,5.972741,8.534024,6.040286,8.099639,5.930857,8.480659,6.091514,10.546970,1.286507,3.562451,-4.000000,3.562451
39,player,0.212235,true,false,3.795784,6.004479,3.391462,5.977459,3.943141,6.031017,3.410851,5.952330,11.184200,4.104087,3.562506,-0.958996,3.562506
39,father,0.212235,true,false,8.221237,5.970821,8.511302,6.041955,8.100071,5.929824,8.484259,6.088991,10.540610,0.427333,3.562596,-4.000000,3.562596
40,player,0.254161,true,false,3.795482,6.004412,3.451171,5.976513,3.942373,6.029959,3.418099,5.958700,11.172770,1.846356,3.562515,-2.966481,3.562515
40,father,0.254161,true,false,8.221274,5.969022,8.475043,6.040707,8.100155,5.928889,8.485024,6.084609,10.539230,0.943662,3.562343,-3.603588,3.562343
41,player,0.296088,true,false,3.795316,6.004316,3.532094,5.979196,3.941956,6.028631,3.473637,5.962077,11.166510,1.213551,3.562416,-4.000000,3.562416
41,father,0.296088,true,false,8.221233,5.967416,8.424126,6.037232,8.100056,5.928201,8.456434,6.083219,10.540780,2.869004,3.562451,-2.902428,3.562451
42,player,0.338014,true,false,3.795136,6.005682,3.624642,5.986581,3.941492,6.028752,3.576005,5.954230,11.159700,4.712967,3.562596,-1.953678,3.562596
42,father,0.338014,true,false,8.221214,5.965609,8.363478,6.032297,8.100003,5.927305,8.388180,6.087928,10.541480,5.162232,3.562379,-0.192162,3.562379
43,player,0.379940,true,false,3.794903,6.006675,3.734856,5.991719,3.940916,6.028399,3.722844,5.946708,11.150880,8.880416,3.562199,4.221817,3.562199
43,father,0.379940,true,false,8.221192,5.964221,8.289767,6.028537,8.099959,5.926852,8.290442,6.092184,10.542330,7.949370,3.562668,3.912382,3.562668
44,player,0.421866,true,false,3.794757,6.007259,3.870997,5.993048,3.940531,6.027821,3.904941,5.933944,11.145370,14.028160,3.562560,9.193930,3.562560
44,father,0.421866,true,false,8.210221,5.963331,8.189424,6.027246,8.088959,5.926853,8.163421,6.099938,10.957160,11.743580,3.976786,7.104452,3.976786
45,player,0.463793,true,false,3.794518,6.007899,4.017114,5.990659,3.939931,6.027247,4.097629,5.923151,11.136330,18.258960,3.562416,9.844522,3.562416
45,father,0.463793,true,false,8.189551,5.962392,8.073240,6.028011,8.068277,5.926830,8.022157,6.106041,11.738740,16.136700,4.758072,9.568679,4.758072
46,player,0.505719,true,false,3.794330,6.008147,4.145595,5.984810,3.939449,6.026248,4.270644,5.922117,11.129220,13.400800,3.562506,2.544663,3.562506
46,father,0.505719,true,false,8.171112,5.961912,7.970273,6.031304,8.049844,5.927239,7.893363,6.105248,12.435990,17.722390,5.455444,9.565217,5.455444
47,player,0.547645,false,false,3.777548,6.008169,4.233775,5.980341,3.920177,6.024557,4.390307,5.931673,10.494660,10.066560,2.989162,-2.515770,Infinity
47,father,0.547645,false,false,8.155000,5.961844,7.885091,6.033704,8.034700,5.928201,7.789137,6.097601,13.045230,14.561100,6.088486,5.300186,Infinity
48,player,0.589571,false,false,3.773646,6.008539,4.270449,5.986776,3.909766,6.022342,4.435039,5.958920,10.347120,8.679808,3.001595,-4.000000,Infinity
48,father,0.589571,false,false,8.143302,5.962310,7.846715,6.029965,8.025861,5.929943,7.740178,6.078531,13.487550,13.110030,6.601048,3.268866,Infinity
49,player,0.631498,false,false,3.775139,6.011984,4.285226,5.994946,3.895584,6.020634,4.426382,5.964657,10.403590,8.121081,3.443326,-3.618156,Infinity
49,father,0.631498,false,false,8.129888,5.961966,7.824671,6.027093,8.019875,5.932151,7.726572,6.074815,13.994740,12.276490,7.290849,2.897966,Infinity
50,player,0.673424,false,true,3.622710,6.018288,4.120680,5.999063,3.714719,6.018435,4.244353,5.958613,4.639894,14.342890,-1.621480,3.562217,3.562217
50,father,0.673424,false,true,8.130038,5.960284,7.830213,6.027065,8.034770,5.934773,7.740409,6.079608,13.989070,12.486030,7.647558,3.562343,3.562343
51,player,0.715350,false,true,3.676601,6.024369,4.127396,5.999976,3.720015,6.016723,4.246435,5.955507,6.677655,14.088940,1.610644,3.562343,3.562343
51,father,0.715350,false,true,8.101024,5.959019,7.826802,6.028673,8.034331,5.936303,7.739351,6.083333,15.086140,12.357070,9.446975,3.562361,3.562361
52,player,0.757277,false,true,3.758766,6.030783,4.128714,6.000463,3.741431,6.014331,4.246843,5.955120,9.784463,14.039110,4.834042,3.562361,3.562361
52,father,0.757277,false,true,8.051942,5.957535,7.825963,6.030481,8.026307,5.936721,7.739089,6.085794,16.942070,12.325340,12.159170,3.562289,3.562289
53,player,0.799203,false,true,3.862014,6.027875,4.130154,6.000574,3.823544,6.018199,4.247290,5.954277,13.688500,13.984660,7.579288,3.562379,3.562379
53,father,0.799203,false,true,7.988019,5.961034,7.825037,6.031793,7.979348,5.933260,7.738806,6.087823,17.432660,12.290350,11.909920,3.562488,3.562488
54,player,0.841129,false,true,3.979453,6.015976,4.131574,5.999688,3.967897,6.027970,4.247729,5.952602,18.129140,13.930970,13.495530,3.562451,3.562451
54,father,0.841129,false,true,7.909522,5.967710,7.824111,6.032960,7.881998,5.927234,7.738513,6.089622,15.484880,12.255310,9.975837,3.562181,3.562181
55,player,0.883055,false,true,4.123395,6.012166,4.132954,5.999149,4.163855,6.038468,4.248161,5.951200,14.240220,13.878820,8.021938,3.562235,3.562235
55,father,0.883055,false,true,7.812496,5.970067,7.823196,6.034204,7.752550,5.921463,7.738231,6.091545,11.816100,12.220750,4.529430,3.562271,3.562271
56,player,0.924982,false,true,4.289092,6.011398,4.134276,5.999128,4.390794,6.050580,4.248572,5.950327,7.974900,13.828810,-1.601187,3.562235,3.562235
56,father,0.924982,false,true,7.701460,5.970032,7.822272,6.034419,7.606554,5.914703,7.737945,6.092441,7.617605,12.185790,-1.585826,3.562343,3.562343
57,player,0.966908,false,true,4.472641,6.017461,4.136066,5.998619,4.627887,6.062309,4.249127,5.949193,1.034509,13.761130,-4.000000,3.562253,3.562253
57,father,0.966908,false,true,7.581112,5.966513,7.820969,6.035079,7.459899,5.908297,7.737539,6.093753,3.067004,12.136510,-4.000000,3.562235,3.562235
58,player,0.008835,false,true,4.600185,6.019512,4.141698,5.998641,4.780799,6.058538,4.250876,5.948440,3.788187,13.548170,-4.000000,3.562199,3.562199
58,father,0.008835,false,true,7.498625,5.965556,7.817377,6.035145,7.366233,5.912197,7.736434,6.094757,0.051985,12.000690,-4.000000,3.562758,3.562758
59,player,0.050761,false,false,4.675469,6.012604,4.210887,5.996037,4.844841,6.048057,4.314831,5.948315,6.634865,10.932000,-1.527930,1.232983,Infinity
59,father,0.050761,false,false,7.414390,5.970003,7.736453,6.036281,7.285450,5.920311,7.658749,6.095201,3.237078,8.940763,-3.931990,0.680447,Infinity
60,player,0.092687,false,false,4.747641,6.005842,4.278294,5.992279,4.905348,6.037266,4.373964,5.948351,9.363809,8.383204,1.487714,-0.862201,Infinity
60,father,0.092687,false,false,7.337460,5.973983,7.663008,6.037951,7.212626,5.928325,7.589942,6.095157,6.145996,6.163696,-0.922169,-1.842360,Infinity
61,player,0.134614,false,false,4.756918,6.003336,4.294301,5.988715,4.906412,6.031973,4.375937,5.949180,9.714618,7.777940,2.040358,-0.697964,Infinity
61,father,0.134614,false,false,7.320723,5.974773,7.643761,6.038864,7.198998,5.931984,7.578100,6.093511,6.778829,5.435891,-0.212896,-2.164145,Infinity
62,player,0.176540,true,false,4.796412,6.004518,4.357714,5.982803,4.944739,6.031748,4.413245,5.950651,11.207980,5.380130,3.562433,-1.664510,3.562433
