seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere,ready,shopOpen,egressBlocker,egressBlockedAttempts
76.433140,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.433230,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.433300,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
76.535040,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
76.535170,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.535260,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.535330,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
76.652000,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
76.652140,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.652220,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.652300,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
76.754100,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
76.754260,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.754350,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.754430,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
76.864010,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
76.864150,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.864230,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.864310,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
76.965160,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
76.965300,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
76.965390,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
76.965460,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
77.067750,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
77.068420,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
77.068500,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
77.068570,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
77.188300,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
77.188430,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
77.188510,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
77.188580,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
77.304840,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
77.304980,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
77.305060,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
77.305140,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
77.418330,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
77.418470,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
77.418560,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
77.418630,2000-01-03T09:47:00,player,True,Idle,"(8,2)",5.333333,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,True,"",0
77.523390,2000-01-03T09:47:00,father,False,Idle,"(5,3)",1.777778,4.000000,"",0.000000,"","","3:10:micro:10:56:9:reception:main:2",Reception,"reception-phone","전화 업무 · 기운 좋음 · 체98/스13",-1,0,,None,None,True,False,True,"",0
77.523520,2000-01-03T09:47:00,mother,False,Idle,"(11,8)",2.666667,8.888889,"",0.000000,"","","4:10:micro:4:55:14:copier:main:3",Printer,"copier-use","복사기 사용 · 기운 좋음 · 체98/스12",-1,0,,None,None,True,False,True,"",0
77.523610,2000-01-03T09:47:00,older_sister,False,Navigating,"(2,8)",-5.333333,4.888889,"(8,3)",0.000000,"","","5:10:micro:1:57:11:meeting-typing:older_sister:4",MeetingRoom,"meeting-type-notes","타이핑 · 기운 좋음 · 체98/스11",1,12,seat_older_sister,Navigating,None,True,False,True,"",0
