seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
86.928410,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4244,True
86.928520,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4244,True
86.928560,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4244,True
86.928580,seat_mother,SouthWest,0.363068,0.363068,0.000000,0.000000,none,none,,,,,,,,,4244,True
86.965970,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4247,True
86.966040,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4247,True
86.966080,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4247,True
86.966090,seat_mother,SouthWest,0.363068,0.363068,0.000000,0.000000,none,none,,,,,,,,,4247,True
87.015950,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4250,True
87.016030,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4250,True
87.016070,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4250,True
87.016080,seat_mother,SouthWest,0.363068,0.363068,0.000000,0.000000,none,none,,,,,,,,,4250,True
87.065970,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4253,True
87.066050,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,8.777619,1.857259,0.000000,0.000000,8.885212,8.670900,154.640500,155.403700,4253,True
87.066080,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4253,True
