frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
8,0.796061,0.079986,father,2,9,1.661596,9.000001,329.767300,437.501500,328.213600,438.174700,1.693308,324.915500,438.933200,331.511700,437.416100,324.915500,426.896900,331.511700,428.371300,-5.689025,0.307342,-2.015515,-5.569928,0.230954,-1.976777,-5.601424,-1.978957,54.737110,0.826994,-0.119609,0,1,0.657500,0.030000,0.000136,0.123853,5,4,5,8,4
8,0.796061,0.079986,mother,8,6,8.338403,6.000000,738.856500,359.782600,740.410200,359.109400,1.693224,743.708300,358.350900,737.112100,359.868000,743.708300,346.314500,737.112100,350.823100,1.872510,0.307342,0.042109,1.753413,0.230955,0.003371,1.784909,0.005551,234.737100,0.826994,-0.119609,0,1,0.657500,0.030000,0.000164,0.123853,1,8,11,7,4
8,0.796061,0.079986,older_sister,9,4,9.338406,3.999998,865.682400,380.920000,867.571100,380.245500,2.005589,871.229500,378.746900,863.912800,381.744000,871.229500,363.586900,863.912800,370.689100,4.174977,0.387100,-0.478691,4.042870,0.282282,-0.555222,4.074821,-0.534183,234.737200,0.826994,-0.152050,0,1,0.657500,0.030000,0.000193,0.128808,1,4,9,12,4
8,0.796061,0.079986,player,2,2,1.661596,2.000000,625.693900,585.464800,623.805100,586.139400,2.005693,620.146600,587.637900,627.463400,584.640900,620.146600,572.478000,627.463400,573.586000,-0.358463,0.387101,-5.812601,-0.226354,0.282282,-5.736075,-0.258305,-5.757113,54.739150,0.826994,-0.152050,0,1,0.657500,0.030000,0.000086,0.128808,5,8,4,10,4
9,0.875281,0.079638,father,2,9,1.742095,9.000001,333.170400,435.799800,334.040600,435.329700,0.989039,335.605500,433.700600,332.475700,436.958800,335.605500,423.578400,332.475700,427.730200,-5.496012,0.258464,-1.881902,-5.552521,0.235645,-1.965098,-5.539979,-1.935504,54.732590,0.927617,0.094174,0,1,0.737500,0.030000,0.000314,0.123853,5,4,5,8,4
9,0.875281,0.079638,mother,8,6,8.257905,6.000000,735.453400,361.484300,734.583100,361.954400,0.989161,733.018200,363.583500,736.148100,360.325300,733.018200,353.461300,736.148100,351.096800,1.679497,0.258464,-0.091503,1.736006,0.235645,-0.008308,1.723464,-0.037901,234.733000,0.927617,0.094174,0,1,0.737500,0.030000,0.000000,0.123853,1,8,11,7,4
9,0.875281,0.079638,older_sister,9,4,9.257907,3.999998,862.279300,382.621800,861.172700,383.300100,1.297890,858.544600,384.827900,863.800800,381.772300,858.544600,371.973800,863.800800,370.400700,3.945944,0.328224,-0.633968,4.040848,0.290366,-0.555943,4.013376,-0.577636,234.732100,0.927617,0.122537,0,1,0.737500,0.030000,0.000031,0.128808,1,4,9,12,4
9,0.875281,0.079638,player,2,2,1.742095,2.000000,629.097000,583.763400,630.203700,583.085100,1.297978,632.832000,581.557500,627.575400,584.612800,632.832000,568.703400,627.575400,573.241300,-0.129422,0.328223,-5.657341,-0.224333,0.290366,-5.735356,-0.196859,-5.713667,54.737390,0.927617,0.122537,0,1,0.737500,0.030000,0.000000,0.128808,5,8,4,10,4
10,0.952935,0.078415,father,2,9,1.822593,9.000001,336.573500,434.098300,338.963500,432.818200,2.711224,344.271700,429.238300,333.655200,436.398200,344.271700,419.842100,333.655200,426.949400,-5.339538,0.239924,-1.767959,-5.531226,0.241267,-1.950783,-5.478534,-1.892059,54.737190,0.028240,0.262065,0,1,0.817500,0.030000,0.000205,0.123853,5,4,5,8,4
10,0.952935,0.078415,mother,8,6,8.177406,6.000000,732.050300,363.185800,729.660300,364.465900,2.711182,724.352100,368.045800,734.968600,360.885900,724.352100,358.649700,734.968600,351.437200,1.523024,0.239923,-0.205447,1.714711,0.241266,-0.022622,1.662020,-0.081347,234.737100,0.028240,0.262065,0,1,0.817500,0.030000,0.000086,0.123853,1,8,11,7,4
