seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
125.225400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
125.225400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
125.225400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
125.225500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.927822,1.775838
126.225400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
126.225500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
126.225500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
126.225500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.350258,1.775838
127.225500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
127.225500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
127.225500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
127.225500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
128.295100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
128.295100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
128.295100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,2.740447,1.775838
128.295200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
129.410300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
129.410300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
129.410300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.928325,1.775838
129.410300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
130.526100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
130.526200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
130.526200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
130.526200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
131.534100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
131.534200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
131.534200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
131.534300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
132.585400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
132.585500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
132.585500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
132.585500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.170326,1.775838
133.586200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
133.586300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
133.586300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
133.586300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.329081,1.775838
134.602200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
134.602300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
134.602300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
134.602300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,2.370870,1.775838
135.701100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
135.701100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
135.701100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
135.701200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,1.542913,1.775838
136.784500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
136.784500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
136.784500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
136.784500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
137.884300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
137.884400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
137.884400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
137.884400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
138.968100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
138.968100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
138.968200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
138.968200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
140.068600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
140.068600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
140.068600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.647744,1.775838
140.068700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
141.131500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
141.131600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
141.131600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.005984,1.775838
141.131600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
142.213300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
142.213300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
142.213400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.007836,1.775838
142.213400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
143.313600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
143.313700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
143.313700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006100,1.775838
143.313700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
144.413600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
144.413700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
144.413700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006465,1.775838
144.413700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
145.480700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
145.480800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
145.480800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.007767,1.775838
145.480800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
146.530300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
146.530300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
146.530400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006021,1.775838
146.530400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
147.597100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
147.597100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000001,1.857259
147.597200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006348,1.775838
147.597200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
148.613900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
148.614000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Working,0.000000,1.857259
148.614000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.007837,1.775838
148.614000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
149.697300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
149.697300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
149.697400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006188,1.775838
149.697400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.007570,1.775838
150.797200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
150.797200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
150.797200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Working,0.006349,1.775838
150.797200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.005808,1.775838
151.826200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
151.826200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
151.826200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
151.826200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.006734,1.775838
152.926500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
152.926500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
152.926500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
152.926500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.007360,1.775838
153.960800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
153.960800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
153.960800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
153.960800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
155.060400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
155.060500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
155.060500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
155.060500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
156.159900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
156.159900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
156.160000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
156.160000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
157.160400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
157.160400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
157.160500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
