frame,actor,phase,grid_x,grid_y,position_x,position_y,radius
67,player,Navigating,3.654135,1.000000,2.359231,2.512949,0.220000
67,father,Navigating,9.419094,9.999996,-0.516357,9.075151,0.220000
68,player,Navigating,3.675577,1.000000,2.378291,2.522479,0.220000
68,father,Navigating,9.398392,9.999996,-0.534760,9.065950,0.220000
69,player,Navigating,3.692348,1.000000,2.393198,2.529932,0.220000
69,father,Navigating,9.382616,9.999996,-0.548783,9.058939,0.220000
70,player,Navigating,3.772846,1.000000,2.464752,2.565709,0.220000
70,father,Navigating,9.310974,9.999997,-0.612465,9.027099,0.220000
71,player,Navigating,3.792252,1.000000,2.482001,2.574334,0.220000
71,father,Navigating,9.295670,9.999998,-0.626069,9.020297,0.220000
72,player,Navigating,3.809022,1.000000,2.496908,2.581788,0.220000
72,father,Navigating,9.283093,9.999998,-0.637249,9.014708,0.220000
73,player,Navigating,3.889520,1.000000,2.568462,2.617564,0.220000
73,father,Navigating,9.227406,9.999999,-0.686749,8.989958,0.220000
74,player,Navigating,3.909642,1.000000,2.586349,2.626508,0.220000
74,father,Navigating,9.215465,9.999999,-0.697364,8.984651,0.220000
75,player,Navigating,3.926413,1.000000,2.601256,2.633961,0.220000
75,father,Navigating,9.206044,9.999999,-0.705738,8.980464,0.220000
76,player,Navigating,4.000000,1.000000,2.666667,2.666667,0.220000
76,father,Navigating,9.164403,9.999999,-0.742752,8.961957,0.220000
77,player,Navigating,4.000000,1.001541,2.665298,2.667351,0.220000
77,father,Navigating,9.155597,10.000000,-0.750581,8.958043,0.220000
78,player,Navigating,4.000000,1.005283,2.661971,2.669015,0.220000
78,father,Navigating,9.148434,10.000000,-0.756947,8.954860,0.220000
79,player,Navigating,4.000000,1.054375,2.618334,2.690833,0.220000
79,father,Navigating,9.116422,10.000000,-0.785403,8.940632,0.220000
80,player,Navigating,4.000000,1.075253,2.599775,2.700113,0.220000
80,father,Navigating,9.108954,9.999999,-0.792040,8.937313,0.220000
81,player,Navigating,4.000000,1.092024,2.584868,2.707566,0.220000
81,father,Navigating,9.103267,9.999999,-0.797096,8.934785,0.220000
82,player,Navigating,4.000000,1.172522,2.513314,2.743343,0.220000
82,father,Navigating,9.077455,9.999999,-0.820040,8.923313,0.220000
83,player,Navigating,4.000000,1.192725,2.495356,2.752322,0.220000
83,father,Navigating,9.071539,9.999999,-0.825298,8.920684,0.220000
84,player,Navigating,4.000000,1.209495,2.480449,2.759776,0.220000
84,father,Navigating,9.066754,9.999999,-0.829551,8.918557,0.220000
85,player,Navigating,4.000000,1.289994,2.408895,2.795553,0.220000
85,father,Navigating,9.044671,10.000000,-0.849181,8.908743,0.220000
86,player,Navigating,4.000000,1.310641,2.390542,2.804729,0.220000
86,father,Navigating,9.039335,10.000000,-0.853924,8.906371,0.220000
87,player,Navigating,4.000000,1.327411,2.375634,2.812183,0.220000
