frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
11,1.394458,0.112443,player,3,2,2.903092,2.000000,678.178400,559.222700,678.796900,559.107300,0.629135,686.524300,555.011800,671.069500,563.202800,686.524300,544.113300,671.069500,550.793200,0.840021,0.278286,-4.979513,0.560977,0.316872,-5.188665,0.689332,-5.087034,54.736500,0.128863,0.348593,0,0,0.897500,0.030000,0.000000,0.128809,5,8,4,9,4
12,1.504362,0.109815,father,2,9,1.983590,9.000001,343.379700,430.695300,341.759300,431.745000,1.930707,346.142700,428.573400,337.375800,434.916600,346.142700,419.724000,337.375800,423.578100,-5.305756,0.225962,-1.750981,-5.464047,0.289523,-1.912954,-5.355645,-1.805163,54.732520,0.229486,0.222761,1,0,0.977500,0.030000,0.000205,0.126119,5,4,5,8,4
12,1.504362,0.109815,mother,8,6,8.016410,6.000000,725.244100,366.588800,726.864600,365.539100,1.930733,722.481100,368.710700,731.248000,362.367400,722.481100,359.861400,731.248000,351.028900,1.489241,0.225962,-0.222424,1.647534,0.289522,-0.060453,1.539130,-0.168242,234.732900,0.229486,0.222762,1,0,0.977500,0.030000,0.000110,0.126118,1,8,11,7,4
12,1.504362,0.109815,older_sister,9,4,9.016410,4.000000,852.069800,387.726300,854.166100,386.318200,2.525350,848.063600,389.831100,860.268700,382.805300,848.063600,378.834700,860.268700,369.046300,3.756703,0.280788,-0.761721,3.977074,0.351327,-0.582320,3.829039,-0.707976,234.739600,0.229486,0.283508,1,0,0.977500,0.030000,0.000193,0.130801,1,4,9,12,4
12,1.504362,0.109815,player,3,2,2.983590,2.000000,681.581500,557.520900,679.485500,558.929200,2.525165,685.587500,555.415800,673.383500,562.442600,685.587500,544.419300,673.383500,548.683600,0.823107,0.280788,-4.989828,0.602757,0.351328,-5.169254,0.750777,-5.043581,54.732640,0.229486,0.283507,1,0,0.977500,0.030000,0.000193,0.130802,5,8,4,9,4
13,1.659967,0.153515,father,2,9,2.064089,9.000001,346.782800,428.993800,345.125400,429.913100,1.895280,347.122200,428.012100,343.128500,431.814100,347.122200,419.101300,343.128500,419.088100,-5.288071,0.227530,-1.736650,-5.360179,0.324950,-1.833732,-5.294200,-1.761718,54.737190,0.330109,0.114926,1,0,1.057500,0.030000,0.000110,0.126119,5,4,5,8,4
13,1.659967,0.153515,mother,8,6,8.000000,6.021735,723.631600,366.476000,726.024900,366.461900,2.393353,721.007400,366.917800,731.042400,366.005900,721.007400,358.054700,731.042400,353.775400,1.462633,0.226316,-0.176644,1.643821,0.312297,-0.153357,1.510015,-0.165362,275.648900,0.277166,0.178016,1,0,1.015408,0.021600,0.000273,0.126118,2,8,11,7,4
13,1.659967,0.153515,older_sister,9,4,8.935911,4.000000,848.666700,389.427800,850.708000,388.189900,2.387247,847.814600,389.981000,853.601400,386.398900,847.814600,378.885700,853.601400,370.874300,3.752209,0.283311,-0.765548,3.856691,0.396412,-0.674082,3.767594,-0.751423,234.736200,0.330109,0.138117,1,0,1.057500,0.030000,0.000273,0.130801,1,4,9,12,4
13,1.659967,0.153515,player,3,2,3.064089,2.000000,684.984600,555.819500,682.943400,557.057300,2.387263,685.836700,555.266300,680.050000,558.848300,685.836700,544.171100,680.050000,543.323700,0.827607,0.283310,-4.986011,0.723124,0.396412,-5.077476,0.812222,-5.000136,54.737090,0.330109,0.138117,1,0,1.057500,0.030000,0.000136,0.130802,5,8,4,9,4
14,1.765356,0.112374,father,2,9,2.144587,9.000001,350.185900,427.292100,350.320300,427.191700,0.167768,348.483100,427.271100,352.157500,427.112300,348.483100,418.304900,352.157500,416.533200,-5.263499,0.228946,-1.717729,-5.197155,0.270131,-1.713675,-5.232755,-1.718265,54.732520,0.430732,-0.056508,1,0,1.137500,0.030000,0.000273,0.126119,5,4,5,8,4
