frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
60,player,Navigating,1.000000,5.422743,-3.931327,3.298997,0.220000,0,1.207512,0.487979
60,father,Navigating,9.674056,9.999998,-0.289726,9.188469,0.220000,0,0.832914,0.333500
61,player,Navigating,1.000000,5.342245,-3.859773,3.263220,0.220000,0,1.210297,0.404612
61,father,Navigating,9.754555,9.999998,-0.218172,9.224246,0.220000,0,0.741855,0.346574
62,player,Navigating,1.000000,5.261747,-3.788219,3.227443,0.220000,0,1.219708,0.332066
62,father,Navigating,9.835053,9.999998,-0.146618,9.260023,0.220000,0,0.680676,0.367242
63,player,Navigating,1.000000,5.181248,-3.716665,3.191666,0.220000,0,1.230224,0.349816
63,father,Navigating,9.915551,9.999998,-0.075064,9.295800,0.220000,0,0.660865,0.388758
64,player,Navigating,1.000000,5.100750,-3.645111,3.155889,0.220000,0,1.215858,0.408945
64,father,Navigating,9.996050,9.999998,-0.003510,9.331577,0.220000,0,0.672675,0.393849
65,player,Navigating,1.000000,5.020251,-3.573556,3.120112,0.220000,0,1.182791,0.471907
65,father,Navigating,10.076550,9.999998,0.068044,9.367354,0.220000,0,0.697125,0.367189
66,player,Navigating,1.000000,4.939753,-3.502002,3.084335,0.220000,0,1.139676,0.413644
66,father,Navigating,10.157050,9.999998,0.139599,9.403131,0.220000,0,0.730569,0.351875
67,player,Navigating,1.000000,4.859254,-3.430448,3.048558,0.220000,0,1.117376,0.338520
67,father,Navigating,10.237550,9.999999,0.211153,9.438909,0.220000,0,0.668693,0.351328
68,player,Navigating,1.000000,4.778756,-3.358894,3.012781,0.220000,0,1.117765,0.332531
68,father,Navigating,10.318040,9.999999,0.282707,9.474686,0.220000,0,0.691863,0.377089
69,player,Navigating,1.000000,4.698257,-3.287340,2.977004,0.220000,0,1.126074,0.418931
69,father,Navigating,10.398540,9.999999,0.354261,9.510463,0.220000,0,0.658769,0.401398
70,player,Navigating,1.000000,4.617759,-3.215786,2.941226,0.220000,0,1.143515,0.488705
70,father,Navigating,10.479040,9.999999,0.425815,9.546240,0.220000,0,0.577423,0.334359
71,player,Navigating,1.000000,4.537261,-3.144231,2.905449,0.220000,0,1.156244,0.395763
71,father,Navigating,10.559540,9.999999,0.497369,9.582017,0.220000,0,0.509843,0.347258
72,player,Navigating,1.000000,4.456762,-3.072677,2.869672,0.220000,0,1.175354,0.332930
72,father,Navigating,10.640040,9.999999,0.568923,9.617794,0.220000,0,0.500064,0.369165
73,player,Navigating,1.000000,4.376264,-3.001123,2.833895,0.220000,0,1.194250,0.351799
73,father,Navigating,10.720540,9.999999,0.640477,9.653571,0.220000,0,0.512185,0.389619
74,player,Navigating,1.000000,4.295765,-2.929569,2.798118,0.220000,0,1.190490,0.413930
74,father,Navigating,10.801030,9.999999,0.712031,9.689348,0.220000,0,0.527603,0.392361
75,player,Navigating,1.000000,4.215267,-2.858015,2.762341,0.220000,0,1.165332,0.474397
75,father,Navigating,10.881530,9.999999,0.783585,9.725125,0.220000,0,0.560721,0.366020
76,player,Navigating,1.000000,4.134768,-2.786460,2.726564,0.220000,0,1.120503,0.406954
76,father,Navigating,10.962030,9.999999,0.855139,9.760902,0.220000,0,0.598520,0.351726
77,player,Navigating,1.000000,4.054270,-2.714906,2.690787,0.220000,0,1.099571,0.337374
77,father,Navigating,11.000000,10.000000,0.888889,9.777778,0.220000,0,0.612893,0.351347
78,player,Navigating,1.000000,3.973772,-2.643352,2.655010,0.220000,0,1.100431,0.336964
78,father,Navigating,11.000000,9.929564,0.951498,9.746473,0.220000,0,0.459191,0.348948
79,player,Navigating,1.000000,3.893273,-2.571798,2.619232,0.220000,0,1.109200,0.424994
79,father,Navigating,11.000000,9.849066,1.023053,9.710696,0.220000,0,0.463882,0.402961
80,player,Navigating,1.000000,3.812774,-2.500244,2.583455,0.220000,0,1.127079,0.488419
80,father,Navigating,11.000000,9.768567,1.094607,9.674919,0.220000,0,0.463893,0.365778
81,player,Navigating,1.000000,3.732276,-2.428689,2.547678,0.220000,0,1.139778,0.385730
81,father,Navigating,11.000000,9.688069,1.166161,9.639142,0.220000,0,0.369905,0.339765
82,player,Navigating,1.000000,3.651778,-2.357135,2.511901,0.220000,0,1.159160,0.333714
82,father,Navigating,11.000000,9.607571,1.237715,9.603365,0.220000,0,0.246105,0.353091
83,player,Navigating,1.000000,3.571279,-2.285581,2.476124,0.220000,0,1.176955,0.353878
83,father,Navigating,11.000000,9.527072,1.309269,9.567588,0.220000,0,0.198356,0.380262
84,player,Navigating,1.000000,3.490781,-2.214027,2.440347,0.220000,0,1.171976,0.418888
84,father,Navigating,11.000000,9.446573,1.380823,9.531811,0.220000,0,0.199997,0.394102
85,player,Navigating,1.000000,3.410282,-2.142473,2.404570,0.220000,0,1.149670,0.475457
85,father,Navigating,11.000000,9.366076,1.452378,9.496034,0.220000,0,0.219807,0.380456
86,player,Navigating,1.000000,3.329784,-2.070919,2.368793,0.220000,0,1.118802,0.399838
86,father,Navigating,11.000000,9.285577,1.523932,9.460257,0.220000,0,0.257355,0.359105
87,player,Navigating,1.000000,3.249285,-1.999364,2.333016,0.220000,0,1.122693,0.336354
87,father,Navigating,11.000000,9.205078,1.595486,9.424479,0.220000,0,0.289187,0.351410
88,player,Navigating,1.000000,3.168787,-1.927810,2.297239,0.220000,0,1.162423,0.341471
88,father,Navigating,11.000000,9.124579,1.667040,9.388702,0.220000,0,0.296109,0.348233
